sales_id,date_sk,store_sk,product_sk,customer_sk,promotion_sk,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_method
83,2,1,1,28,,4,2.49,9.96,0.0,9.96,Card
84,2,5,2,33,,8,3.1,24.8,0.0,24.8,Card
86,2,5,4,2,,1,5.59,5.59,0.0,5.59,Card
87,2,1,6,35,,1,182.48,182.48,0.0,182.48,Card
89,2,4,2,29,1.0,1,3.2,3.2,0.32,2.88,Card
92,2,1,2,36,,1,3.28,3.28,0.0,3.28,Card
93,2,4,9,39,,4,8.67,34.68,0.0,34.68,Card
94,2,4,1,34,1.0,2,2.48,4.96,0.5,4.46,Card
95,2,5,8,25,1.0,3,7.58,22.74,2.27,20.47,Card
96,2,3,10,17,,1,434.9,434.9,0.0,434.9,Card
97,2,4,7,24,,7,24.85,173.95000000000002,0.0,173.95,Card
98,2,1,3,21,,2,3.0,6.0,0.0,6.0,Card
99,2,2,6,29,,1,183.04,183.04,0.0,183.04,Card
102,2,2,1,34,,1,2.42,2.42,0.0,2.42,Card
107,2,3,5,29,,1,305.98,305.98,0.0,305.98,Card
110,2,5,3,25,,2,3.05,6.1,0.0,6.1,Card
111,2,4,6,3,,1,180.95,180.95,0.0,180.95,Card
112,2,4,5,8,,1,305.48,305.48,0.0,305.48,Card
113,2,2,2,13,,2,3.19,6.38,0.0,6.38,Card
116,2,1,1,23,,1,2.52,2.52,0.0,2.52,Card
117,2,2,10,14,1.0,1,441.72,441.72,44.17,397.55,Card
118,2,3,10,17,1.0,1,456.74,456.74,45.67,411.07,Card
119,2,5,9,6,1.0,1,9.2,9.2,0.92,8.28,Card
120,2,5,2,4,,1,3.17,3.17,0.0,3.17,Card
121,2,4,1,10,,1,2.59,2.59,0.0,2.59,Card
122,2,5,1,6,1.0,2,2.45,4.9,0.49,4.41,Card
125,2,5,8,6,,2,7.66,15.32,0.0,15.32,Card
126,2,1,8,12,1.0,3,7.35,22.05,2.2,19.85,Card
129,2,4,8,22,1.0,2,7.42,14.84,1.48,13.36,Card
131,2,1,10,38,,1,451.32,451.32,0.0,451.32,Card
132,2,4,10,32,1.0,1,453.21,453.21,45.32,407.89,Card
134,2,2,5,2,,1,299.55,299.55,0.0,299.55,Card
135,2,2,10,34,,1,449.91,449.91,0.0,449.91,Card
138,2,3,1,14,1.0,1,2.59,2.59,0.26,2.33,Card
139,3,5,8,18,,1,7.29,7.29,0.0,7.29,Card
143,3,2,9,39,,3,9.26,27.78,0.0,27.78,Card
144,3,4,10,23,,1,461.39,461.39,0.0,461.39,Card
145,3,2,3,5,,1,2.94,2.94,0.0,2.94,Card
146,3,1,8,39,,1,7.47,7.47,0.0,7.47,Card
147,3,5,1,1,1.0,1,2.49,2.49,0.25,2.24,Card
148,3,2,6,12,,1,180.71,180.71,0.0,180.71,Card
150,3,4,6,15,,1,183.38,183.38,0.0,183.38,Card
151,3,4,3,2,1.0,1,2.92,2.92,0.29,2.63,Card
152,3,1,7,14,,2,25.3,50.6,0.0,50.6,Card
153,3,1,8,39,1.0,2,7.36,14.72,1.47,13.25,Card
154,3,2,3,8,,1,3.01,3.01,0.0,3.01,Card
156,3,1,1,8,1.0,6,2.49,14.94,1.49,13.45,Card
158,3,4,8,38,,3,7.55,22.65,0.0,22.65,Card
159,3,3,5,7,,1,291.36,291.36,0.0,291.36,Card
161,3,2,9,9,,3,8.74,26.22,0.0,26.22,Card
162,3,3,9,6,,4,8.69,34.76,0.0,34.76,Card
163,3,1,8,15,,1,7.42,7.42,0.0,7.42,Card
164,3,3,10,28,,1,445.16,445.16,0.0,445.16,Card
165,3,4,9,2,,1,8.97,8.97,0.0,8.97,Card
166,3,5,3,36,,1,2.98,2.98,0.0,2.98,Card
169,3,2,6,5,,1,180.88,180.88,0.0,180.88,Card
170,3,1,2,37,1.0,3,3.14,9.42,0.94,8.48,Card
171,3,1,10,35,,1,464.02,464.02,0.0,464.02,Card
174,3,4,10,27,,1,435.07,435.07,0.0,435.07,Card
175,3,2,8,3,,1,7.27,7.27,0.0,7.27,Card
176,3,4,1,36,,3,2.42,7.26,0.0,7.26,Card
178,3,4,8,18,1.0,4,7.6,30.4,3.04,27.36,Card
180,3,2,7,35,,3,25.01,75.03,0.0,75.03,Card
181,3,2,8,30,,5,7.31,36.55,0.0,36.55,Card
183,3,1,8,3,1.0,3,7.63,22.89,2.29,20.6,Card
185,3,4,6,6,1.0,1,173.07,173.07,17.31,155.76,Card
187,3,1,6,9,,1,176.8,176.8,0.0,176.8,Card
188,3,4,8,40,,3,7.44,22.32,0.0,22.32,Card
194,3,1,10,2,,1,450.86,450.86,0.0,450.86,Card
196,3,1,8,23,,1,7.4,7.4,0.0,7.4,Card
197,3,5,1,8,1.0,1,2.47,2.47,0.25,2.22,Card
200,3,1,10,15,1.0,1,447.7,447.7,44.77,402.93,Card
202,3,4,2,10,1.0,2,3.3,6.6,0.66,5.94,Card
203,3,4,5,22,,1,300.88,300.88,0.0,300.88,Card
205,3,5,10,40,1.0,1,437.38,437.38,43.74,393.64,Card
206,3,3,3,28,1.0,1,3.0,3.0,0.3,2.7,Card
207,3,4,10,31,1.0,1,438.26,438.26,43.83,394.43,Card
211,3,4,4,31,,3,5.68,17.04,0.0,17.04,Card
212,3,5,8,40,1.0,1,7.43,7.43,0.74,6.69,Card
214,3,2,8,19,1.0,2,7.79,15.58,1.56,14.02,Card
215,3,5,9,38,,2,8.83,17.66,0.0,17.66,Card
216,3,4,1,28,,5,2.47,12.35,0.0,12.35,Card
219,3,5,7,21,,2,25.09,50.18,0.0,50.18,Card
220,3,1,1,31,1.0,2,2.47,4.94,0.49,4.45,Card
222,3,3,1,21,,2,2.53,5.06,0.0,5.06,Card
224,3,1,7,21,,2,25.45,50.9,0.0,50.9,Card
225,3,1,10,12,1.0,1,441.74,441.74,44.17,397.57,Card
227,3,1,9,17,,2,8.79,17.58,0.0,17.58,Card
228,3,2,6,39,,1,178.22,178.22,0.0,178.22,Card
229,3,4,4,35,1.0,1,5.42,5.42,0.54,4.88,Card
231,3,4,10,27,,1,449.77,449.77,0.0,449.77,Card
234,3,1,5,40,,1,295.0,295.0,0.0,295.0,Card
239,3,2,1,5,1.0,2,2.5,5.0,0.5,4.5,Card
242,3,4,6,15,1.0,1,186.21,186.21,18.62,167.59,Card
245,3,5,8,14,,3,7.53,22.59,0.0,22.59,Card
246,3,3,2,38,1.0,1,3.24,3.24,0.32,2.92,Card
247,3,3,6,25,,1,177.55,177.55,0.0,177.55,Card
249,3,3,8,19,1.0,1,7.55,7.55,0.76,6.79,Card
250,3,1,6,25,,1,185.58,185.58,0.0,185.58,Card
252,3,5,10,30,,1,437.57,437.57,0.0,437.57,Card
253,3,2,8,21,1.0,1,7.54,7.54,0.75,6.79,Card
254,4,1,1,32,1.0,2,2.55,5.1,0.51,4.59,Card
255,4,1,4,29,,2,5.55,11.1,0.0,11.1,Card
257,4,2,6,1,,1,176.77,176.77,0.0,176.77,Card
258,4,5,6,26,,1,173.46,173.46,0.0,173.46,Card
259,4,2,10,29,,1,469.62,469.62,0.0,469.62,Card
262,4,1,8,24,,3,7.47,22.41,0.0,22.41,Card
266,4,4,2,15,,3,3.14,9.42,0.0,9.42,Card
267,4,2,2,9,1.0,3,3.12,9.36,0.94,8.42,Card
268,4,3,6,15,1.0,1,179.39,179.39,17.94,161.45,Card
270,4,4,3,32,,4,3.04,12.16,0.0,12.16,Card
272,4,3,1,18,,2,2.5,5.0,0.0,5.0,Card
273,4,5,7,12,1.0,1,24.43,24.43,2.44,21.99,Card
274,4,3,5,6,,1,299.58,299.58,0.0,299.58,Card
276,4,4,7,29,1.0,2,25.1,50.2,5.02,45.18,Card
277,4,4,10,13,,1,463.12,463.12,0.0,463.12,Card
278,4,2,10,21,1.0,1,451.25,451.25,45.12,406.13,Card
279,4,4,10,4,1.0,1,457.63,457.63,45.76,411.87,Card
280,4,2,7,17,,2,24.08,48.16,0.0,48.16,Card
281,4,5,2,5,,2,3.21,6.42,0.0,6.42,Card
283,4,4,9,6,1.0,2,9.11,18.22,1.82,16.4,Card
285,4,2,6,4,,1,178.62,178.62,0.0,178.62,Card
286,4,5,6,33,,1,183.98,183.98,0.0,183.98,Card
287,4,3,6,13,,1,182.17,182.17,0.0,182.17,Card
289,4,3,10,8,1.0,1,459.86,459.86,45.99,413.87,Card
291,4,2,2,23,1.0,1,3.09,3.09,0.31,2.78,Card
292,4,3,8,13,,1,7.25,7.25,0.0,7.25,Card
293,4,2,1,34,1.0,2,2.48,4.96,0.5,4.46,Card
294,4,3,10,14,1.0,1,442.63,442.63,44.26,398.37,Card
296,4,2,8,8,1.0,3,7.29,21.87,2.19,19.68,Card
297,4,4,2,23,,2,3.13,6.26,0.0,6.26,Card
299,4,5,10,1,,1,450.66,450.66,0.0,450.66,Card
300,4,2,10,13,,1,439.54,439.54,0.0,439.54,Card
301,4,4,8,17,1.0,2,7.7,15.4,1.54,13.86,Card
303,4,1,8,25,1.0,1,7.58,7.58,0.76,6.82,Card
304,4,4,10,35,,1,459.81,459.81,0.0,459.81,Card
307,4,4,9,28,,1,8.93,8.93,0.0,8.93,Card
308,4,3,5,10,,1,310.75,310.75,0.0,310.75,Card
309,4,2,1,37,,4,2.45,9.8,0.0,9.8,Card
310,4,5,6,36,1.0,1,183.28,183.28,18.33,164.95,Card
311,4,1,4,28,1.0,1,5.41,5.41,0.54,4.87,Card
312,4,5,3,32,,1,3.0,3.0,0.0,3.0,Card
315,4,5,3,34,,2,3.04,6.08,0.0,6.08,Card
317,4,1,8,10,,1,7.49,7.49,0.0,7.49,Card
318,4,3,3,38,,2,3.01,6.02,0.0,6.02,Card
322,4,2,10,28,,1,455.18,455.18,0.0,455.18,Card
325,4,5,10,16,,1,448.24,448.24,0.0,448.24,Card
326,4,1,6,17,1.0,1,174.55,174.55,17.46,157.09,Card
327,4,5,7,9,,4,25.02,100.08,0.0,100.08,Card
328,4,3,1,3,,1,2.42,2.42,0.0,2.42,Card
332,4,4,2,10,,4,3.17,12.68,0.0,12.68,Card
335,4,4,7,29,,1,24.78,24.78,0.0,24.78,Card
336,4,2,10,37,,1,449.78,449.78,0.0,449.78,Card
337,4,3,10,36,,1,458.31,458.31,0.0,458.31,Card
338,4,1,6,23,,1,181.65,181.65,0.0,181.65,Card
339,4,5,9,6,1.0,1,8.79,8.79,0.88,7.91,Card
341,4,1,10,23,,1,456.67,456.67,0.0,456.67,Card
342,4,3,3,36,1.0,4,3.0,12.0,1.2,10.8,Card
344,4,5,8,1,,1,7.26,7.26,0.0,7.26,Card
346,4,1,3,29,,1,3.0,3.0,0.0,3.0,Card
349,4,5,2,24,,4,3.31,13.24,0.0,13.24,Card
352,4,3,8,16,1.0,1,7.42,7.42,0.74,6.68,Card
355,4,4,3,18,1.0,2,3.01,6.02,0.6,5.42,Card
356,4,4,5,5,1.0,1,298.75,298.75,29.88,268.87,Card
359,4,3,6,20,,1,184.99,184.99,0.0,184.99,Card
360,4,2,9,6,,2,9.23,18.46,0.0,18.46,Card
361,4,4,3,2,1.0,2,3.02,6.04,0.6,5.44,Card
362,4,2,5,28,,1,301.04,301.04,0.0,301.04,Card
366,4,1,10,32,,1,460.59,460.59,0.0,460.59,Card
367,4,1,3,5,,1,2.98,2.98,0.0,2.98,Card
368,4,1,8,18,,1,7.59,7.59,0.0,7.59,Card
369,4,4,10,13,,1,444.74,444.74,0.0,444.74,Card
371,4,1,1,21,,4,2.43,9.72,0.0,9.72,Card
373,4,1,9,14,1.0,1,9.12,9.12,0.91,8.21,Card
374,4,1,3,21,,5,2.98,14.9,0.0,14.9,Card
376,4,5,4,39,,1,5.5,5.5,0.0,5.5,Card
377,4,5,7,22,1.0,3,23.81,71.42999999999999,7.14,64.29,Card
378,4,5,5,32,,1,292.69,292.69,0.0,292.69,Card
380,4,3,3,10,1.0,2,3.02,6.04,0.6,5.44,Card
381,4,3,4,28,1.0,5,5.65,28.25,2.83,25.42,Card
385,4,4,8,1,,2,7.43,14.86,0.0,14.86,Card
386,4,3,10,15,,1,442.95,442.95,0.0,442.95,Card
387,4,1,10,2,,1,456.62,456.62,0.0,456.62,Card
394,5,3,6,26,,1,178.58,178.58,0.0,178.58,Card
396,5,3,3,17,,1,3.01,3.01,0.0,3.01,Card
397,5,1,3,38,,3,3.07,9.21,0.0,9.21,Card
399,5,4,9,20,,2,8.93,17.86,0.0,17.86,Card
400,5,2,9,25,,7,9.08,63.56,0.0,63.56,Card
401,5,3,10,31,1.0,1,454.41,454.41,45.44,408.97,Card
403,5,3,1,35,1.0,1,2.44,2.44,0.24,2.2,Card
406,5,3,10,28,,1,439.37,439.37,0.0,439.37,Card
407,5,3,6,4,,1,178.57,178.57,0.0,178.57,Card
408,5,3,10,27,,1,459.1,459.1,0.0,459.1,Card
409,5,3,2,5,1.0,1,3.2,3.2,0.32,2.88,Card
410,5,1,8,4,1.0,1,7.5,7.5,0.75,6.75,Card
411,5,1,10,14,1.0,1,450.52,450.52,45.05,405.47,Card
412,5,4,6,20,,1,177.57,177.57,0.0,177.57,Card
413,5,2,5,13,,1,306.08,306.08,0.0,306.08,Card
416,5,3,9,24,1.0,1,9.29,9.29,0.93,8.36,Card
419,5,4,2,20,,1,3.27,3.27,0.0,3.27,Card
420,5,4,3,40,1.0,1,2.84,2.84,0.28,2.56,Card
421,5,2,3,36,1.0,1,3.03,3.03,0.3,2.73,Card
423,5,5,6,10,,1,174.83,174.83,0.0,174.83,Card
425,5,2,4,34,1.0,3,5.54,16.62,1.66,14.96,Card
426,5,5,10,9,,1,452.31,452.31,0.0,452.31,Card
427,5,5,7,16,,4,24.84,99.36,0.0,99.36,Card
429,5,4,7,31,,4,25.11,100.44,0.0,100.44,Card
431,5,4,8,31,,3,7.51,22.53,0.0,22.53,Card
432,5,4,1,20,1.0,1,2.41,2.41,0.24,2.17,Card
436,5,2,9,23,,5,8.61,43.05,0.0,43.05,Card
437,5,4,9,14,1.0,3,8.76,26.28,2.63,23.65,Card
438,5,1,3,29,,4,3.02,12.08,0.0,12.08,Card
439,5,1,4,11,,1,5.62,5.62,0.0,5.62,Card
442,5,2,3,40,,2,3.05,6.1,0.0,6.1,Card
443,5,4,3,16,,1,2.96,2.96,0.0,2.96,Card
444,5,5,6,34,1.0,1,176.71,176.71,17.67,159.04,Card
447,5,4,5,34,,1,296.71,296.71,0.0,296.71,Card
448,5,1,6,2,1.0,1,182.42,182.42,18.24,164.18,Card
450,5,2,4,15,1.0,1,5.35,5.35,0.54,4.81,Card
451,5,1,1,23,1.0,6,2.51,15.06,1.51,13.55,Card
455,5,2,1,25,,2,2.42,4.84,0.0,4.84,Card
456,5,5,9,22,,2,9.11,18.22,0.0,18.22,Card
457,5,2,2,38,,3,3.27,9.81,0.0,9.81,Card
458,5,1,3,35,,1,2.96,2.96,0.0,2.96,Card
459,6,5,4,6,,1,5.5,5.5,0.0,5.5,Card
462,6,3,4,13,1.0,2,5.29,10.58,1.06,9.52,Card
463,6,3,1,16,,1,2.43,2.43,0.0,2.43,Card
464,6,3,3,39,,4,2.97,11.88,0.0,11.88,Card
465,6,2,4,5,,3,5.52,16.56,0.0,16.56,Card
469,6,1,4,9,,1,5.41,5.41,0.0,5.41,Card
470,6,4,2,25,1.0,4,3.12,12.48,1.25,11.23,Card
472,6,2,10,11,,1,444.44,444.44,0.0,444.44,Card
473,6,3,1,26,,3,2.44,7.32,0.0,7.32,Card
474,6,2,3,27,,2,3.07,6.14,0.0,6.14,Card
475,6,4,6,17,1.0,1,176.49,176.49,17.65,158.84,Card
476,6,2,2,28,,1,3.12,3.12,0.0,3.12,Card
479,6,5,4,34,,1,5.55,5.55,0.0,5.55,Card
481,6,4,8,4,,1,7.51,7.51,0.0,7.51,Card
482,6,4,3,34,,1,2.97,2.97,0.0,2.97,Card
484,6,5,9,10,,2,8.86,17.72,0.0,17.72,Card
485,6,5,6,24,,1,179.8,179.8,0.0,179.8,Card
486,6,2,3,17,,3,3.07,9.21,0.0,9.21,Card
487,6,4,2,26,1.0,1,3.13,3.13,0.31,2.82,Card
488,6,2,3,13,,2,2.97,5.94,0.0,5.94,Card
491,6,4,7,2,,2,25.49,50.98,0.0,50.98,Card
497,6,5,4,32,1.0,4,5.52,22.08,2.21,19.87,Card
499,6,5,10,35,,1,450.11,450.11,0.0,450.11,Card
500,6,2,8,27,1.0,1,7.63,7.63,0.76,6.87,Card
505,6,5,8,22,,2,7.38,14.76,0.0,14.76,Card
506,6,3,6,13,,1,176.42,176.42,0.0,176.42,Card
507,6,3,10,12,1.0,1,442.26,442.26,44.23,398.03,Card
511,6,2,5,23,,1,295.09,295.09,0.0,295.09,Card
512,6,1,1,19,1.0,1,2.54,2.54,0.25,2.29,Card
513,6,4,10,16,,1,447.78,447.78,0.0,447.78,Card
514,6,3,8,38,1.0,3,7.65,22.950000000000003,2.3,20.65,Card
516,6,4,8,30,1.0,1,7.5,7.5,0.75,6.75,Card
517,7,3,8,14,,1,7.51,7.51,0.0,7.51,Card
519,7,4,10,18,,1,440.33,440.33,0.0,440.33,Card
520,7,2,10,6,,1,443.51,443.51,0.0,443.51,Card
522,7,4,10,33,,1,460.51,460.51,0.0,460.51,Card
528,7,2,2,4,1.0,1,3.17,3.17,0.32,2.85,Card
529,7,5,10,9,1.0,1,453.91,453.91,45.39,408.52,Card
530,7,2,3,24,,2,2.99,5.98,0.0,5.98,Card
531,7,1,1,12,,4,2.5,10.0,0.0,10.0,Card
534,7,5,3,25,,1,2.96,2.96,0.0,2.96,Card
537,7,3,4,28,,5,5.4,27.0,0.0,27.0,Card
538,7,5,8,22,,1,7.55,7.55,0.0,7.55,Card
539,7,4,9,22,,4,8.95,35.8,0.0,35.8,Card
540,7,3,4,15,,1,5.72,5.72,0.0,5.72,Card
542,7,1,9,26,,1,8.97,8.97,0.0,8.97,Card
543,7,5,1,28,,2,2.4,4.8,0.0,4.8,Card
544,7,2,10,35,1.0,1,448.71,448.71,44.87,403.84,Card
545,7,1,5,24,1.0,1,304.73,304.73,30.47,274.26,Card
546,7,4,2,34,,5,3.19,15.95,0.0,15.95,Card
548,7,3,2,10,1.0,1,3.27,3.27,0.33,2.94,Card
550,7,5,1,10,,1,2.42,2.42,0.0,2.42,Card
551,7,1,2,11,,1,3.19,3.19,0.0,3.19,Card
552,7,1,9,2,1.0,4,9.2,36.8,3.68,33.12,Card
554,7,3,4,18,,1,5.54,5.54,0.0,5.54,Card
555,7,4,3,16,,4,3.01,12.04,0.0,12.04,Card
556,7,1,1,40,,1,2.44,2.44,0.0,2.44,Card
558,7,3,7,34,1.0,1,25.43,25.43,2.54,22.89,Card
560,7,3,10,1,,1,455.79,455.79,0.0,455.79,Card
561,7,4,8,3,,1,7.46,7.46,0.0,7.46,Card
563,7,1,4,17,,4,5.54,22.16,0.0,22.16,Card
564,7,1,4,23,1.0,2,5.59,11.18,1.12,10.06,Card
566,7,5,10,15,1.0,1,452.12,452.12,45.21,406.91,Card
567,7,2,2,7,,3,3.2,9.6,0.0,9.6,Card
569,7,2,8,17,,1,7.52,7.52,0.0,7.52,Card
570,7,1,6,20,1.0,1,180.94,180.94,18.09,162.85,Card
572,8,1,9,1,,2,9.51,19.02,0.0,19.02,Card
574,8,4,10,16,,1,455.96,455.96,0.0,455.96,Card
576,8,5,7,15,,2,24.82,49.64,0.0,49.64,Card
579,8,1,1,12,,1,2.42,2.42,0.0,2.42,Card
583,8,1,10,29,,1,464.35,464.35,0.0,464.35,Card
584,8,3,10,40,,1,447.48,447.48,0.0,447.48,Card
586,8,5,5,14,,1,313.89,313.89,0.0,313.89,Card
587,8,3,9,17,,4,8.84,35.36,0.0,35.36,Card
588,8,5,3,23,,3,3.0,9.0,0.0,9.0,Card
591,8,2,8,18,,6,7.57,45.42,0.0,45.42,Card
592,8,1,3,12,,3,3.1,9.3,0.0,9.3,Card
593,8,3,10,2,,1,451.99,451.99,0.0,451.99,Card
594,8,1,8,22,,1,7.14,7.14,0.0,7.14,Card
595,8,3,1,37,,1,2.5,2.5,0.0,2.5,Card
597,8,4,10,30,,1,454.95,454.95,0.0,454.95,Card
599,8,2,3,14,,4,2.98,11.92,0.0,11.92,Card
600,8,3,2,26,,3,3.08,9.24,0.0,9.24,Card
602,8,3,6,26,,1,180.42,180.42,0.0,180.42,Card
603,8,4,9,7,,2,8.93,17.86,0.0,17.86,Card
606,8,4,7,14,,1,23.7,23.7,0.0,23.7,Card
609,8,5,10,22,,1,434.94,434.94,0.0,434.94,Card
610,8,3,4,27,,1,5.6,5.6,0.0,5.6,Card
611,8,5,3,3,,1,3.12,3.12,0.0,3.12,Card
612,8,1,7,8,,3,25.28,75.84,0.0,75.84,Card
613,8,2,10,34,,1,445.7,445.7,0.0,445.7,Card
614,8,4,1,13,,4,2.45,9.8,0.0,9.8,Card
615,8,2,8,8,,2,7.41,14.82,0.0,14.82,Card
616,8,4,7,10,,3,24.25,72.75,0.0,72.75,Card
617,8,2,3,21,,1,2.98,2.98,0.0,2.98,Card
618,8,2,9,22,,2,9.14,18.28,0.0,18.28,Card
619,8,2,1,10,,2,2.47,4.94,0.0,4.94,Card
620,8,2,1,32,,1,2.4,2.4,0.0,2.4,Card
621,8,1,9,32,,4,9.26,37.04,0.0,37.04,Card
622,8,1,10,18,,1,441.92,441.92,0.0,441.92,Card
623,8,5,1,35,,3,2.53,7.59,0.0,7.59,Card
626,8,1,2,34,,1,3.01,3.01,0.0,3.01,Card
627,8,1,7,26,,2,25.09,50.18,0.0,50.18,Card
628,8,4,10,28,,1,459.28,459.28,0.0,459.28,Card
629,8,5,8,2,,1,7.65,7.65,0.0,7.65,Card
632,8,4,8,15,,2,7.67,15.34,0.0,15.34,Card
633,8,2,10,23,,1,445.74,445.74,0.0,445.74,Card
634,8,3,10,13,,1,430.97,430.97,0.0,430.97,Card
635,8,5,10,40,,1,445.73,445.73,0.0,445.73,Card
636,8,4,5,33,,1,299.3,299.3,0.0,299.3,Card
638,9,2,6,33,,1,179.58,179.58,0.0,179.58,Card
639,9,1,9,10,,1,8.85,8.85,0.0,8.85,Card
640,9,3,3,4,,1,2.93,2.93,0.0,2.93,Card
641,9,4,3,37,,2,3.06,6.12,0.0,6.12,Card
642,9,1,2,15,,2,3.14,6.28,0.0,6.28,Card
643,9,1,2,26,,1,3.3,3.3,0.0,3.3,Card
648,9,2,10,20,,1,460.85,460.85,0.0,460.85,Card
649,9,4,4,21,,2,5.39,10.78,0.0,10.78,Card
650,9,4,9,19,,1,8.88,8.88,0.0,8.88,Card
652,9,2,3,27,,1,2.99,2.99,0.0,2.99,Card
657,9,5,8,6,,5,7.74,38.7,0.0,38.7,Card
658,9,5,3,34,,3,2.97,8.91,0.0,8.91,Card
660,9,5,10,7,,1,452.14,452.14,0.0,452.14,Card
661,9,4,2,4,,4,3.31,13.24,0.0,13.24,Card
662,9,1,8,18,,2,7.55,15.1,0.0,15.1,Card
663,9,4,3,28,,3,2.95,8.850000000000001,0.0,8.85,Card
666,9,3,10,5,,1,440.9,440.9,0.0,440.9,Card
667,9,4,10,25,,1,444.12,444.12,0.0,444.12,Card
670,9,4,10,4,,1,463.32,463.32,0.0,463.32,Card
671,9,1,9,39,,1,9.26,9.26,0.0,9.26,Card
672,9,4,8,6,,2,7.58,15.16,0.0,15.16,Card
673,9,2,2,12,,1,3.22,3.22,0.0,3.22,Card
674,9,1,3,19,,2,2.97,5.94,0.0,5.94,Card
675,9,4,10,35,,1,443.34,443.34,0.0,443.34,Card
676,9,3,3,25,,5,3.03,15.15,0.0,15.15,Card
678,9,2,6,3,,1,175.72,175.72,0.0,175.72,Card
680,9,2,2,40,,2,3.12,6.24,0.0,6.24,Card
681,9,2,8,7,,1,7.42,7.42,0.0,7.42,Card
684,9,2,10,20,,1,441.24,441.24,0.0,441.24,Card
685,9,4,1,8,,3,2.49,7.470000000000001,0.0,7.47,Card
687,9,1,2,38,,1,3.04,3.04,0.0,3.04,Card
690,9,2,7,19,,2,24.78,49.56,0.0,49.56,Card
693,9,3,6,3,,1,178.41,178.41,0.0,178.41,Card
695,9,2,6,31,,1,174.03,174.03,0.0,174.03,Card
697,9,4,1,5,,1,2.47,2.47,0.0,2.47,Card
699,9,2,3,38,,3,2.98,8.94,0.0,8.94,Card
700,9,1,2,26,,3,3.27,9.81,0.0,9.81,Card
701,9,1,10,16,,1,440.13,440.13,0.0,440.13,Card
702,9,5,4,9,,3,5.5,16.5,0.0,16.5,Card
